EmployeeID,FirstName,LastName,Position,HireDate,Salary,SupervisorID,Tenure,Position Grouping
115,Emily,Johnson,Manager,18-01-2018 00:00:00,43482.91,99,2714,Manager
116,Jane,Smith,Stock Clerk,11-10-2022 00:00:00,98069.4,142,987,Other
117,John,Johnson,Cashier,19-12-2019 00:00:00,58161.28,120,2014,Cashier
118,Emily,Smith,Stock Clerk,15-08-2019 00:00:00,69800.57,97,2140,Other
119,David,Johnson,Manager,18-03-2017 00:00:00,68080.15,176,3020,Manager
120,John,Garcia,Sales Associate,02-01-2017 00:00:00,41200.61,183,3095,Sales
121,Sarah,Williams,Stock Clerk,07-08-2016 00:00:00,81418.3,28,3243,Other
122,Sarah,Jones,Cashier,20-08-2015 00:00:00,42331.48,71,3596,Cashier
123,David,Jones,Cashier,04-04-2023 00:00:00,62274.94,80,812,Cashier
124,Emily,Smith,Cashier,18-04-2019 00:00:00,66484.38,66,2259,Cashier
125,Jane,Brown,Cashier,08-07-2023 00:00:00,38235.73,179,717,Cashier
126,Jane,Williams,Manager,18-10-2017 00:00:00,80905.49,36,2806,Manager
127,Sarah,Garcia,Stock Clerk,26-01-2020 00:00:00,97008.56,15,1976,Other
128,John,Garcia,Stock Clerk,07-12-2022 00:00:00,46592.05,150,930,Other
129,Mike,Brown,Stock Clerk,01-05-2018 00:00:00,30064.93,149,2611,Other
130,David,Williams,Cashier,23-08-2017 00:00:00,56533.29,66,2862,Cashier
131,Sarah,Smith,Manager,15-04-2016 00:00:00,81332.07,75,3357,Manager
132,Jane,Johnson,Manager,27-05-2023 00:00:00,78037.47,173,759,Manager
133,John,Johnson,Stock Clerk,04-08-2021 00:00:00,32771.22,114,1420,Other
134,Emily,Williams,Stock Clerk,08-07-2021 00:00:00,31489.92,42,1447,Other
135,Sarah,Johnson,Manager,23-09-2021 00:00:00,53658.41,2,1370,Manager
136,Sarah,Williams,Cashier,04-09-2019 00:00:00,51342.6,10,2120,Cashier
137,Jane,Jones,Manager,13-11-2019 00:00:00,58151.55,26,2050,Manager
138,Jane,Smith,Stock Clerk,19-06-2017 00:00:00,87733.27,66,2927,Other
139,John,Williams,Manager,17-01-2020 00:00:00,65788.37,194,1985,Manager
140,David,Smith,Sales Associate,17-04-2022 00:00:00,92057.15,120,1164,Sales
141,John,Brown,Stock Clerk,15-06-2018 00:00:00,73887.1,194,2566,Other
142,John,Williams,Stock Clerk,25-01-2018 00:00:00,36232.06,56,2707,Other
143,David,Smith,Manager,30-01-2016 00:00:00,64913.96,14,3433,Manager
144,Emily,Smith,Cashier,05-07-2015 00:00:00,31657.36,186,3642,Cashier
145,David,Smith,Sales Associate,15-04-2021 00:00:00,59053.92,189,1531,Sales
146,Jane,Williams,Manager,27-09-2020 00:00:00,59402.92,52,1731,Manager
147,Emily,Smith,Manager,24-02-2018 00:00:00,83280.2,199,2677,Manager
148,Emily,Williams,Sales Associate,12-10-2019 00:00:00,65587.44,34,2082,Sales
149,Emily,Smith,Sales Associate,20-02-2018 00:00:00,86155.82,65,2681,Sales
150,Mike,Garcia,Manager,18-10-2019 00:00:00,61636.98,157,2076,Manager
151,Emily,Jones,Stock Clerk,22-05-2020 00:00:00,63026.04,59,1859,Other
152,David,Smith,Stock Clerk,08-07-2022 00:00:00,98103.92,123,1082,Other
153,Mike,Williams,Cashier,08-10-2021 00:00:00,73961.63,31,1355,Cashier
154,David,Williams,Sales Associate,31-01-2015 00:00:00,46378.18,117,3797,Sales
155,Emily,Jones,Manager,14-03-2023 00:00:00,31595.44,149,833,Manager
156,David,Smith,Sales Associate,17-08-2015 00:00:00,67302.34,131,3599,Sales
157,Jane,Smith,Stock Clerk,23-09-2022 00:00:00,50424.07,9,1005,Other
158,Jane,Smith,Sales Associate,15-06-2020 00:00:00,83196.64,82,1835,Sales
159,John,Brown,Stock Clerk,24-09-2019 00:00:00,66601.72,37,2100,Other
160,Jane,Jones,Cashier,06-08-2019 00:00:00,68759.95,104,2149,Cashier
161,John,Johnson,Sales Associate,27-05-2022 00:00:00,65737.52,98,1124,Sales
162,Jane,Brown,Cashier,28-02-2022 00:00:00,95884.86,180,1212,Cashier
163,David,Jones,Stock Clerk,13-08-2021 00:00:00,62762.1,58,1411,Other
164,Jane,Brown,Cashier,24-04-2022 00:00:00,43546.62,69,1157,Cashier
165,Jane,Johnson,Sales Associate,14-03-2017 00:00:00,83712.93,139,3024,Sales
166,Jane,Johnson,Stock Clerk,05-10-2020 00:00:00,94321.5,63,1723,Other
167,John,Brown,Cashier,22-01-2017 00:00:00,96398.62,97,3075,Cashier
168,Mike,Brown,Stock Clerk,21-02-2023 00:00:00,76893.8,171,854,Other
169,Emily,Garcia,Manager,31-07-2017 00:00:00,40573.64,190,2885,Manager
170,Sarah,Garcia,Manager,06-06-2019 00:00:00,31228.71,28,2210,Manager
171,Jane,Johnson,Manager,03-05-2023 00:00:00,73095.76,12,783,Manager
172,Mike,Williams,Manager,05-12-2019 00:00:00,98651.37,12,2028,Manager
173,Jane,Smith,Cashier,01-10-2018 00:00:00,47944.69,174,2458,Cashier
174,Sarah,Johnson,Sales Associate,11-02-2020 00:00:00,56537.48,179,1960,Sales
175,John,Williams,Sales Associate,20-10-2023 00:00:00,35444.36,78,613,Sales
176,John,Johnson,Sales Associate,23-04-2023 00:00:00,64869.52,159,793,Sales
177,John,Smith,Sales Associate,16-11-2021 00:00:00,68770.47,135,1316,Sales
178,Emily,Brown,Sales Associate,21-12-2018 00:00:00,75395.27,19,2377,Sales
179,John,Jones,Stock Clerk,04-10-2022 00:00:00,41132.87,110,994,Other
180,David,Smith,Stock Clerk,17-03-2020 00:00:00,85552.1,180,1925,Other
181,Mike,Brown,Manager,26-11-2016 00:00:00,83054.29,36,3132,Manager
182,David,Brown,Sales Associate,08-06-2018 00:00:00,81144.68,66,2573,Sales
183,Jane,Jones,Cashier,08-12-2019 00:00:00,95964.46,118,2025,Cashier
184,Mike,Brown,Stock Clerk,07-01-2017 00:00:00,82098.09,99,3090,Other
185,David,Smith,Manager,08-03-2020 00:00:00,72988,120,1934,Manager
186,David,Smith,Sales Associate,05-11-2018 00:00:00,31421.18,15,2423,Sales
187,Jane,Jones,Sales Associate,24-12-2023 00:00:00,49889.69,157,548,Sales
188,Emily,Williams,Manager,15-01-2020 00:00:00,57155.7,93,1987,Manager
189,Mike,Williams,Cashier,11-08-2021 00:00:00,56485.26,150,1413,Cashier
190,Mike,Brown,Cashier,01-02-2023 00:00:00,80130.07,97,874,Cashier
191,Jane,Johnson,Sales Associate,17-10-2017 00:00:00,65080.14,108,2807,Sales
192,Jane,Smith,Manager,10-03-2021 00:00:00,49482.59,194,1567,Manager
193,Emily,Johnson,Manager,16-10-2018 00:00:00,53111.3,6,2443,Manager
194,Sarah,Johnson,Stock Clerk,27-12-2023 00:00:00,77047.8,56,545,Other
195,Mike,Jones,Manager,30-01-2016 00:00:00,94351.49,145,3433,Manager
196,Sarah,Garcia,Stock Clerk,22-05-2016 00:00:00,68359.45,160,3320,Other
197,Sarah,Brown,Sales Associate,20-07-2015 00:00:00,94081.25,113,3627,Sales
198,Sarah,Smith,Sales Associate,07-03-2021 00:00:00,49946.88,189,1570,Sales
199,Emily,Garcia,Sales Associate,20-11-2022 00:00:00,72784.08,147,947,Sales
200,Mike,Garcia,Manager,28-12-2022 00:00:00,39909.26,0,909,Manager
